T1,T2,T3,T4
102.2287,40.0,964.6,26.4
101.3991,40.0,964.6,26.4
102.4105,39.0,964.6,26.4
102.1755,39.0,964.6,26.4
101.4436,39.0,964.6,26.4
101.3834,39.0,964.6,26.4
100.7038,39.0,964.6,26.4
102.0506,39.0,964.6,26.4
103.2155,39.0,964.6,26.4
102.3992,39.0,964.6,26.4
102.5647,39.0,964.6,26.4
104.5432,39.0,964.6,26.4
102.2893,42.0,964.5,26.3
103.0845,42.0,964.5,26.3
101.9523,42.0,964.5,26.3
102.9154,42.0,964.5,26.3
103.424,42.0,964.5,26.3
102.4625,42.0,964.5,26.3
100.4647,42.0,964.5,26.3
98.2864,42.0,964.5,26.3
98.5045,42.0,964.5,26.3
100.2084,42.0,964.5,26.3
102.1329,37.0,964.4,26.9
101.5976,37.0,964.4,26.9
104.6228,37.0,964.4,26.9
103.6222,37.0,964.4,26.9
104.66,37.0,964.4,26.9
105.3261,37.0,964.4,26.9
102.5161,37.0,964.4,26.9
100.7977,37.0,964.4,26.9
101.2876,37.0,964.4,26.9
100.8338,37.0,964.4,26.9
99.6418,38.0,964.3,27.3
98.7308,38.0,964.3,27.3
100.3173,38.0,964.3,27.3
102.2184,38.0,964.3,27.3
101.655,38.0,964.3,27.3
102.3031,38.0,964.3,27.3
101.847,38.0,964.3,27.3
100.578,38.0,964.3,27.3
101.3984,38.0,964.3,27.3
100.5969,38.0,964.3,27.3
100.5665,36.0,964.1,28.3
101.2556,36.0,964.1,28.3
102.1671,36.0,964.1,28.3
101.147,36.0,964.1,28.3
100.4255,36.0,964.1,28.3
100.8432,36.0,964.1,28.3
101.0254,36.0,964.1,28.3
99.3868,36.0,964.1,28.3
98.9974,36.0,964.1,28.3
98.8687,36.0,964.1,28.3
99.3044,37.0,964.1,27.5
99.6761,37.0,964.1,27.5
100.7283,37.0,964.1,27.5
100.1291,37.0,964.1,27.5
100.7309,37.0,964.1,27.5
97.3292,37.0,964.1,27.5
98.99281,37.0,964.1,27.5
98.7228,37.0,964.1,27.5
98.1474,37.0,964.1,27.5
98.3652,37.0,964.1,27.5
98.3535,36.0,964.0,27.7
97.869,36.0,964.0,27.7
98.6872,36.0,964.0,27.7
98.7536,36.0,964.0,27.7
100.7719,36.0,964.0,27.7
101.2287,36.0,964.0,27.7
102.2747,36.0,964.0,27.7
99.7587,36.0,964.0,27.7
100.6776,36.0,964.0,27.7
100.8422,36.0,964.0,27.7
101.7526,34.0,963.9,28.8
100.1072,34.0,963.9,28.8
99.41,34.0,963.9,28.8
99.5456,34.0,963.9,28.8
98.8007,34.0,963.9,28.8
99.3333,34.0,963.9,28.8
98.63869,34.0,963.9,28.8
100.5889,34.0,963.9,28.8
99.0575,34.0,963.9,28.8
99.5142,34.0,963.9,28.8
98.5197,34.0,963.8,28.5
97.2795,34.0,963.8,28.5
96.6839,34.0,963.8,28.5
96.4522,34.0,963.8,28.5
97.7238,34.0,963.8,28.5
98.2772,34.0,963.8,28.5
98.5577,34.0,963.8,28.5
99.0861,34.0,963.8,28.5
101.3668,34.0,963.8,28.5
100.3708,34.0,963.8,28.5
99.8897,34.0,963.6,28.8
100.3591,34.0,963.6,28.8
99.2354,34.0,963.6,28.8
100.743,34.0,963.6,28.8
101.5924,34.0,963.6,28.8
102.5946,34.0,963.6,28.8
101.8005,34.0,963.6,28.8
101.1693,34.0,963.6,28.8
99.7626,34.0,963.6,28.8
100.0173,34.0,963.6,28.8
100.6992,34.0,963.5,28.9
102.3967,34.0,963.5,28.9
102.2301,34.0,963.5,28.9
101.9973,34.0,963.5,28.9
102.2917,34.0,963.5,28.9
102.2651,34.0,963.5,28.9
101.4978,34.0,963.5,28.9
102.1465,34.0,963.5,28.9
103.8331,34.0,963.5,28.9
103.2358,34.0,963.5,28.9
104.9642,32.0,963.3,29.4
104.6253,32.0,963.3,29.4
102.0162,32.0,963.3,29.4
100.6324,32.0,963.3,29.4
99.2438,32.0,963.3,29.4
97.832,32.0,963.3,29.4
97.5,32.0,963.3,29.4
96.9591,32.0,963.3,29.4
97.2002,32.0,963.3,29.4
97.0227,32.0,963.3,29.4
96.9123,32.0,963.2,29.5
97.8792,32.0,963.2,29.5
97.2749,32.0,963.2,29.5
96.0397,32.0,963.2,29.5
96.5253,32.0,963.2,29.5
97.8208,32.0,963.2,29.5
98.654,32.0,963.2,29.5
98.6133,32.0,963.2,29.5
98.423,32.0,963.2,29.5
99.2472,32.0,963.2,29.5
98.59769,29.0,963.2,29.1
99.2642,29.0,963.2,29.1
98.4706,29.0,963.2,29.1
97.7873,29.0,963.2,29.1
98.3718,29.0,963.2,29.1
99.7921,29.0,963.2,29.1
100.0209,29.0,963.2,29.1
100.5588,29.0,963.2,29.1
100.3215,29.0,963.2,29.1
101.8277,29.0,963.2,29.1
103.2991,30.0,963.1,29.8
102.1654,30.0,963.1,29.8
99.9991,30.0,963.1,29.8
103.3952,30.0,963.1,29.8
101.7982,30.0,963.1,29.8
102.995,30.0,963.1,29.8
102.518,30.0,963.1,29.8
102.7605,30.0,963.1,29.8
104.8786,30.0,963.1,29.8
103.6024,30.0,963.1,29.8
106.6717,29.0,963.1,29.4
104.7081,29.0,963.1,29.4
103.0659,29.0,963.1,29.4
103.4681,29.0,963.1,29.4
104.6462,29.0,963.1,29.4
105.7966,29.0,963.1,29.4
104.1321,29.0,963.1,29.4
103.8273,29.0,963.1,29.4
103.7119,29.0,963.1,29.4
103.3933,29.0,963.1,29.4
103.7187,29.0,963.0,30.1
102.2073,29.0,963.0,30.1
100.8193,29.0,963.0,30.1
100.7106,29.0,963.0,30.1
100.6572,29.0,963.0,30.1
100.4462,29.0,963.0,30.1
